session_id,item_id,item_name,category,price,qty
S-00001,SKU-008,Monitor,Electronics,349.99,1
S-00002,SKU-001,Laptop,Electronics,899.99,1
S-00002,SKU-008,Monitor,Electronics,349.99,1
S-00002,SKU-010,Phone Case,Accessories,19.99,1
S-00002,SKU-016,HDMI Cable,Accessories,14.99,1
S-00003,SKU-001,Laptop,Electronics,899.99,1
S-00003,SKU-004,Laptop Bag,Accessories,49.99,1
S-00003,SKU-005,USB-C Hub,Accessories,39.99,1
S-00003,SKU-008,Monitor,Electronics,349.99,1
S-00003,SKU-016,HDMI Cable,Accessories,14.99,2
S-00004,SKU-008,Monitor,Electronics,349.99,1
S-00004,SKU-019,Desk Lamp,Office,44.99,1
S-00005,SKU-001,Laptop,Electronics,899.99,1
S-00005,SKU-008,Monitor,Electronics,349.99,1
S-00005,SKU-016,HDMI Cable,Accessories,14.99,1
S-00006,SKU-002,Smartphone,Electronics,599.99,1
S-00006,SKU-010,Phone Case,Accessories,19.99,1
S-00006,SKU-011,Screen Protector,Accessories,9.99,1
S-00006,SKU-012,Wireless Charger,Accessories,34.99,1
S-00006,SKU-015,Earbuds,Electronics,99.99,1
S-00007,SKU-001,Laptop,Electronics,899.99,1
S-00007,SKU-004,Laptop Bag,Accessories,49.99,1
S-00007,SKU-005,USB-C Hub,Accessories,39.99,1
S-00007,SKU-006,Mouse,Accessories,29.99,1
S-00007,SKU-007,Keyboard,Accessories,79.99,1
S-00007,SKU-016,HDMI Cable,Accessories,14.99,1
S-00008,SKU-002,Smartphone,Electronics,599.99,1
S-00009,SKU-017,SD Card,Storage,24.99,1
S-00009,SKU-018,External SSD,Storage,119.99,1
S-00010,SKU-002,Smartphone,Electronics,599.99,1
S-00010,SKU-004,Laptop Bag,Accessories,49.99,1
S-00010,SKU-012,Wireless Charger,Accessories,34.99,1
S-00010,SKU-015,Earbuds,Electronics,99.99,1
S-00011,SKU-008,Monitor,Electronics,349.99,1
S-00012,SKU-001,Laptop,Electronics,899.99,1
S-00013,SKU-001,Laptop,Electronics,899.99,1
S-00014,SKU-002,Smartphone,Electronics,599.99,1
S-00014,SKU-010,Phone Case,Accessories,19.99,1
S-00014,SKU-011,Screen Protector,Accessories,9.99,1
S-00014,SKU-012,Wireless Charger,Accessories,34.99,1
S-00014,SKU-015,Earbuds,Electronics,99.99,1
S-00015,SKU-019,Desk Lamp,Office,44.99,1
S-00016,SKU-001,Laptop,Electronics,899.99,1
S-00016,SKU-004,Laptop Bag,Accessories,49.99,1
S-00016,SKU-005,USB-C Hub,Accessories,39.99,1
S-00016,SKU-006,Mouse,Accessories,29.99,1
S-00016,SKU-007,Keyboard,Accessories,79.99,1
S-00017,SKU-018,External SSD,Storage,119.99,1
S-00018,SKU-001,Laptop,Electronics,899.99,1
S-00018,SKU-004,Laptop Bag,Accessories,49.99,1
S-00018,SKU-005,USB-C Hub,Accessories,39.99,1
S-00018,SKU-006,Mouse,Accessories,29.99,1
S-00018,SKU-007,Keyboard,Accessories,79.99,1
S-00018,SKU-008,Monitor,Electronics,349.99,1
S-00018,SKU-016,HDMI Cable,Accessories,14.99,1
S-00018,SKU-020,Mousepad,Accessories,19.99,1
S-00019,SKU-019,Desk Lamp,Office,44.99,1
S-00020,SKU-003,Headphones,Electronics,149.99,1
S-00021,SKU-008,Monitor,Electronics,349.99,1
S-00022,SKU-001,Laptop,Electronics,899.99,1
S-00022,SKU-008,Monitor,Electronics,349.99,1
S-00022,SKU-016,HDMI Cable,Accessories,14.99,1
S-00023,SKU-001,Laptop,Electronics,899.99,1
S-00024,SKU-002,Smartphone,Electronics,599.99,1
S-00024,SKU-010,Phone Case,Accessories,19.99,1
S-00024,SKU-011,Screen Protector,Accessories,9.99,2
S-00025,SKU-006,Mouse,Accessories,29.99,1
S-00026,SKU-003,Headphones,Electronics,149.99,1
S-00027,SKU-001,Laptop,Electronics,899.99,1
S-00027,SKU-017,SD Card,Storage,24.99,1
S-00028,SKU-019,Desk Lamp,Office,44.99,1
S-00029,SKU-019,Desk Lamp,Office,44.99,1
S-00030,SKU-008,Monitor,Electronics,349.99,1
S-00031,SKU-006,Mouse,Accessories,29.99,1
S-00031,SKU-007,Keyboard,Accessories,79.99,1
S-00031,SKU-020,Mousepad,Accessories,19.99,1
S-00032,SKU-001,Laptop,Electronics,899.99,1
S-00032,SKU-004,Laptop Bag,Accessories,49.99,1
S-00032,SKU-005,USB-C Hub,Accessories,39.99,1
S-00032,SKU-006,Mouse,Accessories,29.99,1
S-00032,SKU-007,Keyboard,Accessories,79.99,1
S-00032,SKU-008,Monitor,Electronics,349.99,1
S-00032,SKU-016,HDMI Cable,Accessories,14.99,1
S-00033,SKU-001,Laptop,Electronics,899.99,1
S-00033,SKU-004,Laptop Bag,Accessories,49.99,1
S-00033,SKU-005,USB-C Hub,Accessories,39.99,1
S-00034,SKU-019,Desk Lamp,Office,44.99,1
S-00034,SKU-020,Mousepad,Accessories,19.99,1
S-00035,SKU-017,SD Card,Storage,24.99,1
S-00035,SKU-018,External SSD,Storage,119.99,1
S-00036,SKU-002,Smartphone,Electronics,599.99,1
S-00037,SKU-001,Laptop,Electronics,899.99,1
S-00038,SKU-002,Smartphone,Electronics,599.99,1
